userID,smoker,drink_level,dress_preference,user_ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,new_user_cuisine,new_user_payments,user_avg_rating,user_avg_food_rating,user_avg_service_rating,user_avg_rating_text,user_avg_rating_bin,placeID,name,address,city,country,alcohol,smoking_area,dress_code,accessibility,price,state,res_ambience,franchise,area,other_services,res_accept_pay,res_cuisine,res_parking,res_avg_rating,res_avg_food,res_avg_service,res_avg_rating_text,res_avg_rating_bin,cus_res_rating,cus_res_food_rating,cus_res_service_rating
U1013,0,abstemious,no preference,friends,public,widow,independent,1982,retro,thrifty-protector,none,professional,blue,80,medium,1.75,Japanese,multiple,1.5,1.5,0.7,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,1,0
U1006,1,social drinker,no preference,friends,car owner,single,independent,1989,variety,hard-worker,none,student,blue,75,medium,1.8,Mexican,only cash,1.36,1.18,1.64,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,0,1
U1007,0,casual drinker,informal,solitary,public,single,independent,1989,variety,thrifty-protector,Catholic,student,purple,60,low,1.59,Family,only cash,0.89,1.11,0.67,Unsatisfactory,0,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,1,1
U1033,0,social drinker,no preference,family,on foot,single,NULL,1991,none,hard-worker,none,student,yellow,54,low,1.6,Mexican,only cash,1.73,1,0.91,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,0,0
U1035,1,casual drinker,no preference,friends,car owner,single,independent,1985,variety,hunter-ostentatious,none,student,red,69,medium,1.75,Family,multiple,1.67,1.33,1.83,Satisfactory,1,132583,McDonalds Centro,Rayon sn col. Centro,Cuernavaca,Mexico,No_Alcohol_Served,not permitted,informal,partially,low,Morelos,familiar,t,closed,none,multiple,American,none,1,1,1.25,Satisfactory,1,1,0,2
U1044,1,social drinker,informal,family,car owner,married,kids,1969,variety,thrifty-protector,Catholic,professional,orange,85,medium,1.73,Mexican,multiple,1.4,1.6,1.4,Satisfactory,1,132583,McDonalds Centro,Rayon sn col. Centro,Cuernavaca,Mexico,No_Alcohol_Served,not permitted,informal,partially,low,Morelos,familiar,t,closed,none,multiple,American,none,1,1,1.25,Satisfactory,1,1,2,1
U1118,1,casual drinker,informal,friends,public,single,independent,1987,technology,thrifty-protector,none,student,black,60,medium,1.68,Pizzeria,only cash,0.29,0,0,Unsatisfactory,0,132583,McDonalds Centro,Rayon sn col. Centro,Cuernavaca,Mexico,No_Alcohol_Served,not permitted,informal,partially,low,Morelos,familiar,t,closed,none,multiple,American,none,1,1,1.25,Satisfactory,1,0,0,0
U1119,0,abstemious,formal,family,public,single,independent,1992,eco-friendly,thrifty-protector,Catholic,student,blue,68,medium,1.68,Mexican,only cash,1.6,1.6,1.6,Satisfactory,1,132583,McDonalds Centro,Rayon sn col. Centro,Cuernavaca,Mexico,No_Alcohol_Served,not permitted,informal,partially,low,Morelos,familiar,t,closed,none,multiple,American,none,1,1,1.25,Satisfactory,1,2,2,2
U1107,0,abstemious,no preference,friends,car owner,single,independent,1989,variety,hard-worker,Catholic,NULL,blue,87,high,1.79,Mexican,multiple,2,2,1.67,Satisfactory,1,132584,Gorditas Dona Tota,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,medium,NULL,familiar,t,closed,none,only cash,Mexican,yes,1.33,1.5,1,Satisfactory,1,2,2,2
U1123,0,abstemious,informal,family,NULL,single,independent,1987,technology,hard-worker,Catholic,student,green,110,medium,1.75,Mexican,only cash,1.13,1.75,1,Satisfactory,1,132584,Gorditas Dona Tota,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,medium,NULL,familiar,t,closed,none,only cash,Mexican,yes,1.33,1.5,1,Satisfactory,1,1,2,0
U1103,0,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,multiple,1.13,1.5,1.38,Satisfactory,1,132584,Gorditas Dona Tota,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,medium,NULL,familiar,t,closed,none,only cash,Mexican,yes,1.33,1.5,1,Satisfactory,1,1,2,1
U1050,0,social drinker,no preference,family,car owner,single,independent,1989,variety,hard-worker,none,student,green,73,medium,1.71,Mexican,only cash,0,1,0.14,Unsatisfactory,0,132584,Gorditas Dona Tota,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,medium,NULL,familiar,t,closed,none,only cash,Mexican,yes,1.33,1.5,1,Satisfactory,1,0,0,0
U1063,0,casual drinker,formal,family,public,single,independent,1988,eco-friendly,conformist,Catholic,student,red,80,medium,1.78,Mexican,only cash,1.4,1.4,1.2,Satisfactory,1,132584,Gorditas Dona Tota,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,medium,NULL,familiar,t,closed,none,only cash,Mexican,yes,1.33,1.5,1,Satisfactory,1,2,1,1
U1067,0,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,only cash,1,0.83,1,Satisfactory,1,132584,Gorditas Dona Tota,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,medium,NULL,familiar,t,closed,none,only cash,Mexican,yes,1.33,1.5,1,Satisfactory,1,2,2,2
U1068,0,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,only cash,0.63,0.63,0.63,Unsatisfactory,0,132594,tacos de barbacoa enfrente del Tec,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,low,NULL,familiar,f,open,none,only cash,Mexican,public,0.6,1.2,0.6,Unsatisfactory,0,1,1,1
U1050,0,social drinker,no preference,family,car owner,single,independent,1989,variety,hard-worker,none,student,green,73,medium,1.71,Mexican,only cash,0,1,0.14,Unsatisfactory,0,132594,tacos de barbacoa enfrente del Tec,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,low,NULL,familiar,f,open,none,only cash,Mexican,public,0.6,1.2,0.6,Unsatisfactory,0,0,2,0
U1087,0,abstemious,no preference,solitary,public,single,independent,1989,variety,thrifty-protector,Catholic,student,black,53,medium,1.55,Chinese,only cash,1.25,1.88,0.88,Satisfactory,1,132594,tacos de barbacoa enfrente del Tec,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,low,NULL,familiar,f,open,none,only cash,Mexican,public,0.6,1.2,0.6,Unsatisfactory,0,1,2,1
U1082,1,abstemious,informal,friends,public,single,NULL,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,only cash,0.11,0.11,0.11,Unsatisfactory,0,132594,tacos de barbacoa enfrente del Tec,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,low,NULL,familiar,f,open,none,only cash,Mexican,public,0.6,1.2,0.6,Unsatisfactory,0,0,0,0
U1123,0,abstemious,informal,family,NULL,single,independent,1987,technology,hard-worker,Catholic,student,green,110,medium,1.75,Mexican,only cash,1.13,1.75,1,Satisfactory,1,132594,tacos de barbacoa enfrente del Tec,NULL,NULL,NULL,No_Alcohol_Served,not permitted,informal,completely,low,NULL,familiar,f,open,none,only cash,Mexican,public,0.6,1.2,0.6,Unsatisfactory,0,1,1,1
U1123,0,abstemious,informal,family,NULL,single,independent,1987,technology,hard-worker,Catholic,student,green,110,medium,1.75,Mexican,only cash,1.13,1.75,1,Satisfactory,1,132608,Hamburguesas La perica,cd. mier,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,low,Tamaulipas,quiet,t,open,none,only cash,Mexican,public,1,1.17,0.83,Satisfactory,1,1,2,1
U1082,1,abstemious,informal,friends,public,single,NULL,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,only cash,0.11,0.11,0.11,Unsatisfactory,0,132608,Hamburguesas La perica,cd. mier,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,low,Tamaulipas,quiet,t,open,none,only cash,Mexican,public,1,1.17,0.83,Satisfactory,1,0,0,0
U1080,1,social drinker,formal,friends,car owner,single,independent,1987,variety,hard-worker,Catholic,student,white,80,low,1.82,Mexican,only cash,1.33,1.33,1.33,Satisfactory,1,132608,Hamburguesas La perica,cd. mier,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,low,Tamaulipas,quiet,t,open,none,only cash,Mexican,public,1,1.17,0.83,Satisfactory,1,2,2,2
U1050,0,social drinker,no preference,family,car owner,single,independent,1989,variety,hard-worker,none,student,green,73,medium,1.71,Mexican,only cash,0,1,0.14,Unsatisfactory,0,132608,Hamburguesas La perica,cd. mier,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,low,Tamaulipas,quiet,t,open,none,only cash,Mexican,public,1,1.17,0.83,Satisfactory,1,0,0,0
U1043,0,abstemious,no preference,solitary,public,single,independent,1989,technology,hard-worker,none,student,white,60,medium,1.64,Latin_American,only cash,1,1.2,1,Satisfactory,1,132608,Hamburguesas La perica,cd. mier,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,low,Tamaulipas,quiet,t,open,none,only cash,Mexican,public,1,1.17,0.83,Satisfactory,1,1,1,1
U1070,0,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6,Mexican,only cash,1.33,1.33,0.67,Satisfactory,1,132608,Hamburguesas La perica,cd. mier,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,low,Tamaulipas,quiet,t,open,none,only cash,Mexican,public,1,1.17,0.83,Satisfactory,1,2,2,1
U1070,0,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6,Mexican,only cash,1.33,1.33,0.67,Satisfactory,1,132609,Pollo_Frito_Buenos_Aires,tampico,victoria,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,Tamaulipas,quiet,t,closed,none,only cash,Fast_Food,yes,0.6,0.6,0.6,Unsatisfactory,0,1,1,1
U1063,0,casual drinker,formal,family,public,single,independent,1988,eco-friendly,conformist,Catholic,student,red,80,medium,1.78,Mexican,only cash,1.4,1.4,1.2,Satisfactory,1,132609,Pollo_Frito_Buenos_Aires,tampico,victoria,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,Tamaulipas,quiet,t,closed,none,only cash,Fast_Food,yes,0.6,0.6,0.6,Unsatisfactory,0,1,0,1
U1043,0,abstemious,no preference,solitary,public,single,independent,1989,technology,hard-worker,none,student,white,60,medium,1.64,Latin_American,only cash,1,1.2,1,Satisfactory,1,132609,Pollo_Frito_Buenos_Aires,tampico,victoria,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,Tamaulipas,quiet,t,closed,none,only cash,Fast_Food,yes,0.6,0.6,0.6,Unsatisfactory,0,1,2,1
U1050,0,social drinker,no preference,family,car owner,single,independent,1989,variety,hard-worker,none,student,green,73,medium,1.71,Mexican,only cash,0,1,0.14,Unsatisfactory,0,132609,Pollo_Frito_Buenos_Aires,tampico,victoria,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,Tamaulipas,quiet,t,closed,none,only cash,Fast_Food,yes,0.6,0.6,0.6,Unsatisfactory,0,0,0,0
U1082,1,abstemious,informal,friends,public,single,NULL,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,only cash,0.11,0.11,0.11,Unsatisfactory,0,132609,Pollo_Frito_Buenos_Aires,tampico,victoria,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,Tamaulipas,quiet,t,closed,none,only cash,Fast_Food,yes,0.6,0.6,0.6,Unsatisfactory,0,0,0,0
U1082,1,abstemious,informal,friends,public,single,NULL,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,only cash,0.11,0.11,0.11,Unsatisfactory,0,132613,carnitas_mata,lic. Emilio portes gil,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,Tamaulipas,familiar,t,closed,none,only cash,Mexican,yes,1.17,1.33,1,Satisfactory,1,0,0,0
U1103,0,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,multiple,1.13,1.5,1.38,Satisfactory,1,132613,carnitas_mata,lic. Emilio portes gil,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,Tamaulipas,familiar,t,closed,none,only cash,Mexican,yes,1.17,1.33,1,Satisfactory,1,2,2,2
U1123,0,abstemious,informal,family,NULL,single,independent,1987,technology,hard-worker,Catholic,student,green,110,medium,1.75,Mexican,only cash,1.13,1.75,1,Satisfactory,1,132613,carnitas_mata,lic. Emilio portes gil,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,Tamaulipas,familiar,t,closed,none,only cash,Mexican,yes,1.17,1.33,1,Satisfactory,1,1,2,1
U1043,0,abstemious,no preference,solitary,public,single,independent,1989,technology,hard-worker,none,student,white,60,medium,1.64,Latin_American,only cash,1,1.2,1,Satisfactory,1,132613,carnitas_mata,lic. Emilio portes gil,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,Tamaulipas,familiar,t,closed,none,only cash,Mexican,yes,1.17,1.33,1,Satisfactory,1,1,1,1
U1070,0,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6,Mexican,only cash,1.33,1.33,0.67,Satisfactory,1,132613,carnitas_mata,lic. Emilio portes gil,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,Tamaulipas,familiar,t,closed,none,only cash,Mexican,yes,1.17,1.33,1,Satisfactory,1,1,1,0
U1028,0,abstemious,no preference,family,public,single,independent,1989,variety,hard-worker,Christian,student,blue,77,medium,1.63,Mexican,only cash,1,1.14,1,Satisfactory,1,132613,carnitas_mata,lic. Emilio portes gil,victoria,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,Tamaulipas,familiar,t,closed,none,only cash,Mexican,yes,1.17,1.33,1,Satisfactory,1,2,2,2
U1026,0,abstemious,formal,family,public,single,independent,1989,technology,hunter-ostentatious,Catholic,student,red,49,medium,1.55,Mexican,multiple,1,1.4,1,Satisfactory,1,132626,la perica hamburguesa,NULL,victoria,NULL,No_Alcohol_Served,none,informal,completely,medium,tamaulipas,familiar,t,closed,none,multiple,Italian,yes,1.25,1,1,Satisfactory,1,2,2,2
U1065,0,abstemious,formal,friends,public,single,independent,1989,technology,conformist,Catholic,student,green,55,medium,1.72,Mexican,only cash,1.2,0.8,1.2,Satisfactory,1,132626,la perica hamburguesa,NULL,victoria,NULL,No_Alcohol_Served,none,informal,completely,medium,tamaulipas,familiar,t,closed,none,multiple,Italian,yes,1.25,1,1,Satisfactory,1,1,0,1
U1039,0,social drinker,no preference,friends,NULL,single,independent,1989,none,hard-worker,none,student,yellow,83,medium,1.73,Regional,only cash,1.33,1.33,1.67,Satisfactory,1,132626,la perica hamburguesa,NULL,victoria,NULL,No_Alcohol_Served,none,informal,completely,medium,tamaulipas,familiar,t,closed,none,multiple,Italian,yes,1.25,1,1,Satisfactory,1,2,2,1
U1130,0,abstemious,NULL,NULL,NULL,NULL,NULL,1989,none,hard-worker,none,NULL,yellow,40,NULL,1.2,Mexican,NULL,0.25,0.5,0.25,Unsatisfactory,0,132626,la perica hamburguesa,NULL,victoria,NULL,No_Alcohol_Served,none,informal,completely,medium,tamaulipas,familiar,t,closed,none,multiple,Italian,yes,1.25,1,1,Satisfactory,1,0,0,0
U1103,0,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,multiple,1.13,1.5,1.38,Satisfactory,1,132630,palomo tec,blvrd emilio portes gil,victoria,NULL,No_Alcohol_Served,none,informal,completely,low,tamaulipas,familiar,f,closed,none,NULL,Mexican,none,1.17,1.17,1,Satisfactory,1,1,2,0
U1082,1,abstemious,informal,friends,public,single,NULL,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,only cash,0.11,0.11,0.11,Unsatisfactory,0,132630,palomo tec,blvrd emilio portes gil,victoria,NULL,No_Alcohol_Served,none,informal,completely,low,tamaulipas,familiar,f,closed,none,NULL,Mexican,none,1.17,1.17,1,Satisfactory,1,1,1,1
U1043,0,abstemious,no preference,solitary,public,single,independent,1989,technology,hard-worker,none,student,white,60,medium,1.64,Latin_American,only cash,1,1.2,1,Satisfactory,1,132630,palomo tec,blvrd emilio portes gil,victoria,NULL,No_Alcohol_Served,none,informal,completely,low,tamaulipas,familiar,f,closed,none,NULL,Mexican,none,1.17,1.17,1,Satisfactory,1,1,1,1
U1067,0,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,only cash,1,0.83,1,Satisfactory,1,132630,palomo tec,blvrd emilio portes gil,victoria,NULL,No_Alcohol_Served,none,informal,completely,low,tamaulipas,familiar,f,closed,none,NULL,Mexican,none,1.17,1.17,1,Satisfactory,1,1,0,1
U1068,0,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,only cash,0.63,0.63,0.63,Unsatisfactory,0,132630,palomo tec,blvrd emilio portes gil,victoria,NULL,No_Alcohol_Served,none,informal,completely,low,tamaulipas,familiar,f,closed,none,NULL,Mexican,none,1.17,1.17,1,Satisfactory,1,1,1,1
U1028,0,abstemious,no preference,family,public,single,independent,1989,variety,hard-worker,Christian,student,blue,77,medium,1.63,Mexican,only cash,1,1.14,1,Satisfactory,1,132630,palomo tec,blvrd emilio portes gil,victoria,NULL,No_Alcohol_Served,none,informal,completely,low,tamaulipas,familiar,f,closed,none,NULL,Mexican,none,1.17,1.17,1,Satisfactory,1,2,2,2
